"Something went wrong while getting the image url.","Something went wrong while getting the image url."
Ascending,Ascending
Descending,Descending
"In order to use this feature please login or create an account.","In order to use this feature please login or create an account."
Reorder,Reorder
"Print Order","Print Order"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"Add to Wishlist","Add to Wishlist"
"Product Listing Sort Direction","Product Listing Sort Direction"
"Google Optimize","Google Optimize"
"Optimize Container ID","Optimize Container ID"
'Show "Print order" button in customer area','Show "Print order" button in customer area'
View,View
"
                            Sets a list or a grid as the default view of products for the category.
                        ","
                            Sets a list or a grid as the default view of products for the category.
                        "
"Use Default Value","Use Default Value"
"Page Group ID","Page Group ID"
"
                        Please enter an identifier of the multilingual pages that you want to group.
                        This page will redirect to another page with the same identifier in case that you switch between languages in your storefront.
                    ","
                        Please enter an identifier of the multilingual pages that you want to group.
                        This page will redirect to another page with the same identifier in case that you switch between languages in your storefront.
                    "
